"day","cases"
1,33
2,51
3,62
4,88
5,96
6,171
7,216
8,252
9,338
10,418
11,533
12,663
13,914
14,1104
15,1399
16,1803
17,2189
18,2698
19,3198
20,3956
21,4577
22,5120
23,5874
24,6212
25,6446
26,6738
27,6496
28,6046
29,5684
30,4922
31,4227
32,3548
33,2972
34,2348
35,1873
36,1547
37,1203
38,872
39,703
40,557
41,454
42,288
43,248
44,191
45,144
46,122
47,90
48,65
49,62
50,37
51,22
52,23
53,15
54,18
55,19
56,9
57,12
58,5
59,7
60,7
61,4
62,4
63,1
64,0
65,1
66,1
67,0
68,2
69,2
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
